Date,Description,Amount,Group,Category
12/31/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
12/31/2025,1037 NOSTRAND DELI LLC,-6.76,Groceries,Deli/Market
12/31/2025,1037 NOSTRAND DELI LLC,-6.76,Groceries,Deli/Market
12/31/2025,Apple Services,-10.99,Subscriptions,Apple Services
12/31/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
12/30/2025,"Uber Technologies, Inc",-24.93,Rideshare - Uber,Rideshare - Uber
12/30/2025,"Uber Technologies, Inc",-23.73,Rideshare - Uber,Rideshare - Uber
12/30/2025,PayPal Inc.,-8.86,Services,PayPal Fees
12/30/2025,WONDER,-8.49,Dining Out,Restaurant
12/29/2025,APPLE.COM/BILL,-12.99,Subscriptions,Apple Services
12/29/2025,1037 NOSTRAND DELI LLC,-7.8,Groceries,Deli/Market
12/29/2025,1037 NOSTRAND DELI LLC,-7.8,Groceries,Deli/Market
12/29/2025,APPLE.COM/BILL,-12.99,Subscriptions,Apple Services
12/29/2025,WONDER,-20.58,Dining Out,Restaurant
12/29/2025,APPLE.COM/BILL,-2.17,Subscriptions,Apple Services
12/29/2025,APPLE.COM/BILL,-2.17,Subscriptions,Apple Services
12/29/2025,WONDER,-3.9,Dining Out,Restaurant
12/28/2025,T & T Organic Market I,-20.8,Groceries,Supermarket
12/28/2025,T & T Organic Market I,-20.8,Groceries,Supermarket
12/28/2025,WONDER,-28.2,Dining Out,Restaurant
12/28/2025,WONDER,-44.48,Dining Out,Restaurant
12/28/2025,WONDER,-19.88,Dining Out,Restaurant
12/28/2025,WONDER,-28.2,Dining Out,Restaurant
12/27/2025,APPLE.COM/BILL,-16.31,Subscriptions,Apple Services
12/27/2025,PayPal Inc.,-166.96,Services,PayPal Fees
12/27/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/26/2025,1037 NOSTRAND DELI LLC,-2.08,Groceries,Deli/Market
12/26/2025,CURB MOBILITY,-28.44,Rideshare - Uber,Rideshare - Uber
12/26/2025,1037 NOSTRAND DELI LLC,-2.6,Groceries,Deli/Market
12/26/2025,WONDER,-9.37,Dining Out,Restaurant
12/26/2025,HERCULES CORP KIOSK,-10.0,Bills & Housing,Laundry
12/26/2025,Apple Services,-9.99,Subscriptions,Apple Services
12/26/2025,HERCULES CORP KIOSK,-10.0,Bills & Housing,Laundry
12/26/2025,CURB MOBILITY,-28.44,Rideshare - Uber,Rideshare - Uber
12/26/2025,1037 NOSTRAND DELI LLC,-2.6,Groceries,Deli/Market
12/26/2025,1037 NOSTRAND DELI LLC,-2.08,Groceries,Deli/Market
12/26/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/25/2025,Uber Eats,-17.3,Food Delivery,Delivery
12/24/2025,WONDER,-27.11,Dining Out,Restaurant
12/24/2025,"Uber Technologies, Inc",-26.44,Rideshare - Uber,Rideshare - Uber
12/24/2025,WONDER,-2.12,Dining Out,Restaurant
12/23/2025,TARGET.COM,-61.73,Groceries,Supermarket
12/23/2025,SPK*SPOKEO SEARCH,-29.95,Subscriptions,Software
12/23/2025,SPK*SPOKEO SEARCH,-29.95,Subscriptions,Software
12/23/2025,T & T Organic Market I,-18.72,Groceries,Supermarket
12/23/2025,T & T Organic Market I,-18.72,Groceries,Supermarket
12/23/2025,WONDER,-12.9,Dining Out,Restaurant
12/23/2025,WONDER,-12.9,Dining Out,Restaurant
12/22/2025,1037 NOSTRAND DELI LLC,-18.72,Groceries,Deli/Market
12/22/2025,1037 NOSTRAND DELI LLC,-18.72,Groceries,Deli/Market
12/22/2025,Uber Eats,-16.61,Food Delivery,Delivery
12/22/2025,TARGET.COM,-11.97,Groceries,Supermarket
12/22/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/21/2025,PayPal Inc.,-8.22,Services,PayPal Fees
12/21/2025,WONDER,-38.43,Dining Out,Restaurant
12/21/2025,"DoorDash, Inc.",-26.34,Food Delivery,Delivery
12/21/2025,APPLE.COM/BILL,-7.61,Subscriptions,Apple Services
12/21/2025,APPLE.COM/BILL,-7.61,Subscriptions,Apple Services
12/20/2025,MARBLE,-49.0,Dining Out,Restaurant
12/20/2025,MARBLE,-49.0,Dining Out,Restaurant
12/20/2025,APPLE STORE #R594,-107.79,Subscriptions,Apple Services
12/20/2025,APPLE STORE #R594,-107.79,Subscriptions,Apple Services
12/20/2025,Farfetch.c,-166.96,Shopping,Clothing
12/20/2025,DROPBOX*4RB2HZLGJN46,-19.99,Subscriptions,Apple Services
12/20/2025,AMAZON.COM*YE4FR6QQ3,-8.58,Other,Unknown
12/20/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/20/2025,DM 561,-3.39,Groceries,Deli/Market
12/20/2025,DM 561,-3.39,Groceries,Deli/Market
12/19/2025,AMAZON.COM*DF4C25N63,-24.97,Other,Unknown
12/19/2025,BEST BUY MOBILE #2518-s06,-82.61,Transportation,Gas Station
12/19/2025,"Uber Technologies, Inc",-29.03,Rideshare - Uber,Rideshare - Uber
12/19/2025,"Uber Technologies, Inc",-8.23,Rideshare - Uber,Rideshare - Uber
12/17/2025,crownbill.com,-17.99,Other,Unknown
12/17/2025,APPLE STORE #R594,-162.22,Subscriptions,Apple Services
12/17/2025,APPLE STORE #R594,-162.22,Subscriptions,Apple Services
12/17/2025,TST*XIAN FAMOUS FOODS,-19.71,Dining Out,Restaurant
12/17/2025,crownbill.com,-17.99,Other,Unknown
12/17/2025,TST*XIAN FAMOUS FOODS,-19.71,Dining Out,Restaurant
12/17/2025,JOES BUSY CORNER,-10.92,Other,Unknown
12/17/2025,JOES BUSY CORNER,-10.92,Other,Unknown
12/16/2025,Uber Eats,-35.01,Food Delivery,Delivery
12/16/2025,Uber Eats,-52.08,Food Delivery,Delivery
12/16/2025,BLOOMINGDALES  .COM,-381.06,Shopping,Clothing
12/16/2025,BLOOMINGDALES  .COM,-381.06,Shopping,Clothing
12/16/2025,"Uber Technologies, Inc",-28.93,Rideshare - Uber,Rideshare - Uber
12/15/2025,Uber Eats,-34.07,Food Delivery,Delivery
12/15/2025,STERLING DELI AND GROC,-17.16,Groceries,Deli/Market
12/15/2025,"Uber Technologies, Inc",-25.02,Rideshare - Uber,Rideshare - Uber
12/15/2025,"Uber Technologies, Inc",-26.03,Rideshare - Uber,Rideshare - Uber
12/15/2025,Uber Eats,-32.42,Food Delivery,Delivery
12/15/2025,TARGET.COM,-35.89,Groceries,Supermarket
12/15/2025,STERLING DELI AND GROC,-17.16,Groceries,Deli/Market
12/15/2025,"Uber Technologies, Inc",-12.15,Rideshare - Uber,Rideshare - Uber
12/15/2025,SPK*SPOKEO SEARCH,-0.95,Subscriptions,Software
12/15/2025,SPK*SPOKEO SEARCH,-0.95,Subscriptions,Software
12/14/2025,Uber Eats,-34.15,Food Delivery,Delivery
12/14/2025,"Uber Technologies, Inc",-25.1,Rideshare - Uber,Rideshare - Uber
12/14/2025,AMAZON PRIME PMTS,-8.15,Subscriptions,Apple Services
12/14/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/14/2025,AMAZON PRIME PMTS,-8.15,Subscriptions,Apple Services
12/13/2025,T & T Organic Market I,-11.96,Groceries,Supermarket
12/13/2025,WONDER,-13.01,Dining Out,Restaurant
12/13/2025,WONDER,-27.11,Dining Out,Restaurant
12/13/2025,WONDER,-27.11,Dining Out,Restaurant
12/13/2025,Uber Eats,-37.47,Food Delivery,Delivery
12/13/2025,T & T Organic Market I,-11.96,Groceries,Supermarket
12/13/2025,EXXON EMPIRE AUTO REPA,-6.52,Transportation,Gas Station
12/13/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
12/13/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
12/13/2025,EXXON EMPIRE AUTO REPA,-6.52,Transportation,Gas Station
12/12/2025,SQ *HENA350INC,-2.5,Dining Out,Restaurant
12/11/2025,WONDER-GRHUB*MEDUSAGRE,-20.69,Dining Out,Restaurant
12/11/2025,WONDER-GRHUB*MEDUSAGRE,-20.69,Dining Out,Restaurant
12/10/2025,VESTA  *AT&T PREPAID,-36.3,Bills & Housing,Phone/Internet
12/10/2025,VESTA  *AT&T PREPAID,-36.3,Bills & Housing,Phone/Internet
12/10/2025,BROWSERTRIX,-30.0,Other,Unknown
12/10/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/10/2025,Apple Services,-11.95,Subscriptions,Apple Services
12/09/2025,1037 NOSTRAND DELI LLC,-16.12,Groceries,Deli/Market
12/09/2025,"Uber Technologies, Inc",-51.36,Rideshare - Uber,Rideshare - Uber
12/09/2025,1037 NOSTRAND DELI LLC,-16.12,Groceries,Deli/Market
12/09/2025,PayPal Inc.,-12.45,Services,PayPal Fees
12/09/2025,PAYPRO *NEKTONY,-8.66,Subscriptions,Software
12/09/2025,PAYPRO *NEKTONY,-8.66,Subscriptions,Software
12/08/2025,TARGET T-1849,-107.26,Groceries,Supermarket
12/08/2025,TRTHFDR*TRUTHFINDER,-32.54,Subscriptions,Software
12/08/2025,TRTHFDR*TRUTHFINDER,-32.54,Subscriptions,Software
12/08/2025,"Uber Technologies, Inc",-19.42,Rideshare - Uber,Rideshare - Uber
12/08/2025,Apple Services,-9.99,Subscriptions,Apple Services
12/07/2025,WONDER,-8.7,Dining Out,Restaurant
12/07/2025,US MOBILE,-10.57,Transportation,Gas Station
12/07/2025,US MOBILE,-10.57,Transportation,Gas Station
12/07/2025,WONDER,-10.78,Dining Out,Restaurant
12/07/2025,WONDER,-10.78,Dining Out,Restaurant
12/07/2025,1037 NOSTRAND DELI LLC,-14.3,Groceries,Deli/Market
12/07/2025,HERCULES CORP KIOSK,-25.0,Bills & Housing,Laundry
12/07/2025,HERCULES CORP KIOSK,-25.0,Bills & Housing,Laundry
12/07/2025,WONDER,-8.7,Dining Out,Restaurant
12/07/2025,1037 NOSTRAND DELI LLC,-14.3,Groceries,Deli/Market
12/07/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/07/2025,MTA*NYCT PAYGO RECOVER,-2.9,Transportation,Transit - Subway/Bus
12/07/2025,MTA*NYCT PAYGO RECOVER,-2.9,Transportation,Transit - Subway/Bus
12/06/2025,T & T Organic Market I,-19.76,Groceries,Supermarket
12/06/2025,T & T Organic Market I,-19.76,Groceries,Supermarket
12/06/2025,TST*JERUSALEM FALAFEL,-14.16,Dining Out,Restaurant
12/06/2025,TST*JERUSALEM FALAFEL,-14.16,Dining Out,Restaurant
12/05/2025,Apple Services,-21.32,Subscriptions,Apple Services
12/05/2025,"Uber Technologies, Inc",-42.96,Rideshare - Uber,Rideshare - Uber
12/05/2025,Apple Services,-6.52,Subscriptions,Apple Services
12/05/2025,Apple Services,-2.17,Subscriptions,Apple Services
12/05/2025,HP *INSTANT INK,-3.07,Other,Unknown
12/05/2025,HP *INSTANT INK,-3.07,Other,Unknown
12/03/2025,TRTHFDR*TRUTHFINDER,-4.34,Subscriptions,Software
12/03/2025,TARGET.COM,-47.79,Groceries,Supermarket
12/03/2025,T & T Organic Market I,-36.4,Groceries,Supermarket
12/03/2025,T & T Organic Market I,-36.4,Groceries,Supermarket
12/03/2025,TRTHFDR*TRUTHFINDER,-7.62,Subscriptions,Software
12/03/2025,TRTHFDR*TRUTHFINDER,-7.62,Subscriptions,Software
12/03/2025,TRTHFDR*TRUTHFINDER,-4.34,Subscriptions,Software
12/03/2025,PayPal Inc.,0.0,Services,PayPal Fees
12/02/2025,WONDER,-23.03,Dining Out,Restaurant
12/02/2025,WONDER,-23.03,Dining Out,Restaurant
12/01/2025,PIECE OF CAKE MOVING &,-270.75,Bills & Housing,Moving
12/01/2025,PIECE OF CAKE MOVING &,-270.75,Bills & Housing,Moving
12/01/2025,WONDER-GRHUB*EMVIETNAM,-25.04,Dining Out,Restaurant
12/01/2025,WONDER-GRHUB*EMVIETNAM,-25.04,Dining Out,Restaurant
12/01/2025,AFFIA MEAT AND GROCERY,-11.82,Groceries,Supermarket
12/01/2025,AFFIA MEAT AND GROCERY,-11.82,Groceries,Supermarket
11/30/2025,"Uber Technologies, Inc",-29.04,Rideshare - Uber,Rideshare - Uber
11/30/2025,WONDER-GRHUB*TAVATURKI,-27.43,Dining Out,Restaurant
11/30/2025,WONDER-GRHUB*TAVATURKI,-27.43,Dining Out,Restaurant
11/30/2025,Uber Eats,-23.62,Food Delivery,Delivery
11/29/2025,T & T Organic Market I,-11.96,Groceries,Supermarket
11/29/2025,T & T Organic Market I,-11.96,Groceries,Supermarket
11/29/2025,WONDER,-16.67,Dining Out,Restaurant
11/29/2025,WONDER-GRHUB*EMVIETNAM,-19.6,Dining Out,Restaurant
11/29/2025,WONDER-GRHUB*EMVIETNAM,-19.6,Dining Out,Restaurant
11/29/2025,AFTERPAY,-10.27,Services,PayPal Fees
11/29/2025,MTA*NYCT PAYGO RECOVER,-2.9,Transportation,Transit - Subway/Bus
11/29/2025,MTA*NYCT PAYGO RECOVER,-2.9,Transportation,Transit - Subway/Bus
11/29/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
11/29/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
11/28/2025,WWW.PAYWITHFOUR.COM,-30.5,Services,PayPal Fees
11/28/2025,"Uber Technologies, Inc",-17.58,Rideshare - Uber,Rideshare - Uber
11/28/2025,T & T Organic Market I,-19.24,Groceries,Supermarket
11/28/2025,T & T Organic Market I,-19.24,Groceries,Supermarket
11/28/2025,1037 NOSTRAN-725997,-64.49,Groceries,Deli/Market
11/28/2025,NOSTRAND SMELL SO SWEE,-58.23,Groceries,Deli/Market
11/28/2025,NOSTRAND SMELL SO SWEE,-58.23,Groceries,Deli/Market
11/28/2025,WONDER,-12.47,Dining Out,Restaurant
11/28/2025,AFFIA MEAT AND GROCERY,-11.98,Groceries,Supermarket
11/28/2025,WALGREENS STORE,-3.29,Health,Pharmacy
11/28/2025,AFFIA MEAT AND GROCERY,-11.98,Groceries,Supermarket
11/27/2025,"Uber Technologies, Inc",-42.26,Rideshare - Uber,Rideshare - Uber
11/27/2025,"Uber Technologies, Inc",-9.99,Rideshare - Uber,Rideshare - Uber
11/27/2025,PayPal Inc.,0.0,Services,PayPal Fees
11/25/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
11/25/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
11/23/2025,HERCULES CORP KIOSK,-20.0,Bills & Housing,Laundry
11/23/2025,HERCULES CORP KIOSK,-20.0,Bills & Housing,Laundry
11/22/2025,UBER   * EATS PENDING,-19.56,Rideshare - Uber,Rideshare - Uber
11/22/2025,TARGET.COM,-103.13,Groceries,Supermarket
11/22/2025,TARGET.COM,-39.38,Groceries,Supermarket
11/22/2025,TARGET.COM,-39.38,Groceries,Supermarket
11/22/2025,UBER   * EATS PENDING,-19.56,Rideshare - Uber,Rideshare - Uber
11/22/2025,TARGET.COM,-103.13,Groceries,Supermarket
11/22/2025,TARGET.COM,-10.17,Groceries,Supermarket
11/22/2025,TARGET.COM,-10.17,Groceries,Supermarket
11/21/2025,T & T Organic Market I,-21.84,Groceries,Supermarket
11/21/2025,T & T Organic Market I,-21.84,Groceries,Supermarket
11/20/2025,WONDER,-15.58,Dining Out,Restaurant
11/20/2025,1037 NOSTRAND DELI LLC,-15.6,Groceries,Deli/Market
11/20/2025,1037 NOSTRAND DELI LLC,-15.6,Groceries,Deli/Market
11/20/2025,WONDER,-15.58,Dining Out,Restaurant
11/19/2025,"Uber Technologies, Inc",-41.16,Rideshare - Uber,Rideshare - Uber
11/19/2025,"Uber Technologies, Inc",-33.27,Rideshare - Uber,Rideshare - Uber
11/19/2025,"Uber Technologies, Inc",-31.94,Rideshare - Uber,Rideshare - Uber
11/17/2025,PayPal Inc.,-1.0,Services,PayPal Fees
11/16/2025,WONDER-GRHUB*KABOBSHAC,-17.69,Dining Out,Restaurant
11/16/2025,WONDER-GRHUB*KABOBSHAC,-17.69,Dining Out,Restaurant
11/16/2025,UBR* PENDING.UBER.COM,-23.31,Rideshare - Uber,Rideshare - Uber
11/16/2025,UBR* PENDING.UBER.COM,-23.31,Rideshare - Uber,Rideshare - Uber
11/16/2025,TST*JERUSALEM FALAFEL,-14.4,Dining Out,Restaurant
11/16/2025,TST*JERUSALEM FALAFEL,-14.4,Dining Out,Restaurant
11/16/2025,FOUR*PLUS*SUBSCRIPTION,-12.99,Other,Unknown
11/16/2025,FOUR*PLUS*SUBSCRIPTION,-12.99,Other,Unknown
11/16/2025,PayPal Inc.,0.0,Services,PayPal Fees
11/16/2025,1037 NOSTRAND DELI LLC,-7.02,Groceries,Deli/Market
11/16/2025,1037 NOSTRAND DELI LLC,-7.02,Groceries,Deli/Market
11/15/2025,TST*JERUSALEM FALAFEL,-18.52,Dining Out,Restaurant
11/15/2025,GLORIA CARRI-617169,-24.5,Other,Unknown
11/15/2025,TST*JERUSALEM FALAFEL,-18.52,Dining Out,Restaurant
11/15/2025,PayPal Inc.,0.0,Services,PayPal Fees
11/14/2025,TST*JERUSALEM FALAFEL,-11.98,Dining Out,Restaurant
11/14/2025,TST*JERUSALEM FALAFEL,-11.98,Dining Out,Restaurant
11/14/2025,1037 NOSTRAND DELI LLC,-6.76,Groceries,Deli/Market
11/14/2025,1037 NOSTRAND DELI LLC,-6.76,Groceries,Deli/Market
11/13/2025,TST*XIAN FAMOUS FOODS,-16.17,Dining Out,Restaurant
11/13/2025,DB SMOKE SHOP,-20.8,Tobacco/Vape,Tobacco/Vape
11/13/2025,DB SMOKE SHOP,-20.8,Tobacco/Vape,Tobacco/Vape
11/13/2025,AMAZON.COM*B808H8X30,-21.76,Other,Unknown
11/13/2025,UBER   *TRIP,-25.62,Rideshare - Uber,Rideshare - Uber
11/13/2025,UBR* PENDING.UBER.COM,-42.37,Rideshare - Uber,Rideshare - Uber
11/13/2025,UBR* PENDING.UBER.COM,-25.64,Rideshare - Uber,Rideshare - Uber
11/13/2025,UBR* PENDING.UBER.COM,-42.37,Rideshare - Uber,Rideshare - Uber
11/13/2025,DB SMOKE SHOP,-44.2,Tobacco/Vape,Tobacco/Vape
11/13/2025,DB SMOKE SHOP,-44.2,Tobacco/Vape,Tobacco/Vape
11/13/2025,TST*XIAN FAMOUS FOODS,-16.17,Dining Out,Restaurant
11/13/2025,PayPal Inc.,0.0,Services,PayPal Fees
11/13/2025,SQ *DIVINE SNACKS,-2.5,Dining Out,Restaurant
11/13/2025,SQ *DIVINE SNACKS,-2.5,Dining Out,Restaurant
11/12/2025,WWW.PAYWITHFOUR.COM,-30.5,Services,PayPal Fees
11/11/2025,T & T Organic Market I,-32.76,Groceries,Supermarket
11/11/2025,UBR* PENDING.UBER.COM,-17.99,Rideshare - Uber,Rideshare - Uber
11/11/2025,WONDER,-21.67,Dining Out,Restaurant
11/11/2025,WONDER,-21.67,Dining Out,Restaurant
11/11/2025,Nike US Stores,-164.7,Shopping,Clothing
11/11/2025,NOSTRAND SMELL SO SWEE,-23.91,Groceries,Deli/Market
11/11/2025,T & T Organic Market I,-32.76,Groceries,Supermarket
11/11/2025,TARGET.COM,-98.99,Groceries,Supermarket
11/11/2025,Nike US Stores,-164.7,Shopping,Clothing
11/11/2025,TARGET.COM,-15.0,Groceries,Supermarket
11/11/2025,UBR* PENDING.UBER.COM,-17.99,Rideshare - Uber,Rideshare - Uber
11/11/2025,NOSTRAND SMELL SO SWEE,-23.91,Groceries,Deli/Market
11/11/2025,AMAZON.COM*BT4QY6QW2,-10.87,Other,Unknown
11/11/2025,WWW.PAYWITHFOUR.COM,-7.0,Services,PayPal Fees
11/11/2025,WWW.PAYWITHFOUR.COM,-7.0,Services,PayPal Fees
11/11/2025,PayPal Inc.,0.0,Services,PayPal Fees
11/10/2025,HP *ALL- IN PLAN,-23.48,Other,Unknown
11/10/2025,WONDER,-20.58,Dining Out,Restaurant
11/10/2025,TARGET T-1849,-73.88,Groceries,Supermarket
11/10/2025,HP *ALL- IN PLAN,-13.68,Other,Unknown
11/10/2025,CASH APP*CASH APP CARD,-5.44,Other,Unknown
11/10/2025,1037 NOSTRAND DELI LLC,-5.72,Groceries,Deli/Market
11/10/2025,1037 NOSTRAND DELI LLC,-5.72,Groceries,Deli/Market
11/10/2025,PayPal Inc.,0.0,Services,PayPal Fees
11/09/2025,US MOBILE,-10.57,Transportation,Gas Station
11/09/2025,US MOBILE,-10.57,Transportation,Gas Station
11/09/2025,CASH APP*JAMES GARDELL,-20.0,Other,Unknown
11/09/2025,Uber Eats,-21.82,Food Delivery,Delivery
11/09/2025,Uber Eats,-25.54,Food Delivery,Delivery
11/09/2025,VESTA  *AT&T PREPAID,-36.3,Bills & Housing,Phone/Internet
11/09/2025,VESTA  *AT&T PREPAID,-36.3,Bills & Housing,Phone/Internet
11/09/2025,PAYPRO *NEKTONY,-8.66,Subscriptions,Software
11/09/2025,PAYPRO *NEKTONY,-8.66,Subscriptions,Software
11/09/2025,T & T Organic Market I,-7.8,Groceries,Supermarket
11/09/2025,T & T Organic Market I,-7.8,Groceries,Supermarket
11/08/2025,Uber Eats,-17.8,Food Delivery,Delivery
11/08/2025,OXFORD PHARMACY,-11.39,Shopping,Clothing
11/08/2025,OXFORD PHARMACY,-11.39,Shopping,Clothing
11/08/2025,Apple Services,-14.38,Subscriptions,Apple Services
11/08/2025,TST*XIAN FAMOUS FOODS,-15.41,Dining Out,Restaurant
11/08/2025,TST*XIAN FAMOUS FOODS,-15.41,Dining Out,Restaurant
11/08/2025,WONDER,-21.67,Dining Out,Restaurant
11/08/2025,Uber Eats,-24.44,Food Delivery,Delivery
11/08/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
11/08/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
11/08/2025,Apple Services,-5.31,Subscriptions,Apple Services
11/08/2025,PayPal Inc.,0.0,Services,PayPal Fees
11/07/2025,TST*JERUSALEM FALAFEL,-14.15,Dining Out,Restaurant
11/07/2025,STERLING DELI AND GROC,-8.84,Groceries,Deli/Market
11/07/2025,1037 NOSTRAND DELI LLC,-13.52,Groceries,Deli/Market
11/07/2025,1037 NOSTRAND DELI LLC,-13.52,Groceries,Deli/Market
11/07/2025,TST*JERUSALEM FALAFEL,-14.15,Dining Out,Restaurant
11/07/2025,T & T Organic Market I,-18.72,Groceries,Supermarket
11/07/2025,T & T Organic Market I,-18.72,Groceries,Supermarket
11/07/2025,HERCULES CORP KIOSK,-20.0,Bills & Housing,Laundry
11/07/2025,HERCULES CORP KIOSK,-20.0,Bills & Housing,Laundry
11/07/2025,STERLING DELI AND GROC,-8.84,Groceries,Deli/Market
11/07/2025,TST*JERUSALEM FALAFEL,-1.64,Dining Out,Restaurant
11/07/2025,1037 NOSTRAND DELI LLC,-2.08,Groceries,Deli/Market
11/07/2025,TST*JERUSALEM FALAFEL,-1.64,Dining Out,Restaurant
11/07/2025,1037 NOSTRAND DELI LLC,-2.08,Groceries,Deli/Market
11/05/2025,MTA*NYCT PAYGO RECOVER,-5.8,Transportation,Transit - Subway/Bus
11/05/2025,UBER   * EATS PENDING,-23.25,Rideshare - Uber,Rideshare - Uber
11/05/2025,UBER   * EATS PENDING,-23.25,Rideshare - Uber,Rideshare - Uber
11/05/2025,MTA*NYCT PAYGO RECOVER,-5.8,Transportation,Transit - Subway/Bus
11/04/2025,LIVE GOOD PHARMACY INC,-18.67,Shopping,Clothing
11/04/2025,LIVE GOOD PHARMACY INC,-18.67,Shopping,Clothing
11/04/2025,TST*XIAN FAMOUS FOODS,-18.62,Dining Out,Restaurant
11/04/2025,TST*XIAN FAMOUS FOODS,-18.62,Dining Out,Restaurant
11/04/2025,TARGET.COM,-5.0,Groceries,Supermarket
11/04/2025,T & T Organic Market I,-19.24,Groceries,Supermarket
11/04/2025,TST*MAMA PHO - GRAND S,-8.97,Dining Out,Restaurant
11/04/2025,TST*MAMA PHO - GRAND S,-8.97,Dining Out,Restaurant
11/04/2025,TARGET.COM,-8.88,Groceries,Supermarket
11/04/2025,T & T Organic Market I,-19.24,Groceries,Supermarket
11/04/2025,CURB MOBILITY,-48.45,Rideshare - Uber,Rideshare - Uber
11/04/2025,"Uber Technologies, Inc",-19.37,Rideshare - Uber,Rideshare - Uber
11/04/2025,UBER   * EATS PENDING,-41.27,Rideshare - Uber,Rideshare - Uber
11/04/2025,UBER   * EATS PENDING,-41.27,Rideshare - Uber,Rideshare - Uber
11/04/2025,1037 NOSTRAND DELI LLC,-41.6,Groceries,Deli/Market
11/04/2025,1037 NOSTRAND DELI LLC,-41.6,Groceries,Deli/Market
11/04/2025,CURB MOBILITY,-48.45,Rideshare - Uber,Rideshare - Uber
11/04/2025,TARGET.COM,-90.86,Groceries,Supermarket
11/04/2025,TARGET.COM,-90.86,Groceries,Supermarket
11/04/2025,CITIBIK*TEMP HOLD,-4.99,Transportation,Transit - Subway/Bus
11/04/2025,CITIBIK*TEMP HOLD,-4.99,Transportation,Transit - Subway/Bus
11/04/2025,T & T Organic Market I,-4.16,Groceries,Supermarket
11/04/2025,T & T Organic Market I,-4.16,Groceries,Supermarket
11/04/2025,PayPal Inc.,-0.74,Services,PayPal Fees
11/04/2025,TARGET.COM,-3.88,Groceries,Supermarket
11/04/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
11/04/2025,MTA*NYCT PAYGO,-2.9,Transportation,Transit - Subway/Bus
